GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,MOE
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographical Area,Geographical Area,Median,Margin of Error
0100000US,,United States,1600000US0649670,0649670,United States - California - Mountain View city,Mountain View city,75411,10318
0100000US,,United States,1600000US0650076,0650076,United States - California - Murrieta city,Murrieta city,63028,6008
0100000US,,United States,1600000US0650258,0650258,United States - California - Napa city,Napa city,57040,7198
0100000US,,United States,1600000US0651182,0651182,United States - California - Newport Beach city,Newport Beach city,97428,7886
0100000US,,United States,1600000US0652526,0652526,United States - California - Norwalk city,Norwalk city,51137,2838
0100000US,,United States,1600000US0653000,0653000,United States - California - Oakland city,Oakland city,44124,2362
0100000US,,United States,1600000US0653322,0653322,United States - California - Oceanside city,Oceanside city,55382,4194
0100000US,,United States,1600000US0653896,0653896,United States - California - Ontario city,Ontario city,46344,6034
0100000US,,United States,1600000US0653980,0653980,United States - California - Orange city,Orange city,69695,5326
0100000US,,United States,1600000US0654652,0654652,United States - California - Oxnard city,Oxnard city,48952,3903
0100000US,,United States,1600000US0655156,0655156,United States - California - Palmdale city,Palmdale city,46536,6170
0100000US,,United States,1600000US0656000,0656000,United States - California - Pasadena city,Pasadena city,51233,4571
0100000US,,United States,1600000US0657792,0657792,United States - California - Pleasanton city,Pleasanton city,101022,4266
0100000US,,United States,1600000US0658072,0658072,United States - California - Pomona city,Pomona city,41805,3636
0100000US,,United States,1600000US0659451,0659451,United States - California - Rancho Cucamonga city,Rancho Cucamonga city,71967,4706
0100000US,,United States,1600000US0659920,0659920,United States - California - Redding city,Redding city,42891,5276
0100000US,,United States,1600000US0659962,0659962,United States - California - Redlands city,Redlands city,52111,6906
0100000US,,United States,1600000US0660018,0660018,United States - California - Redondo Beach city,Redondo Beach city,85594,10289
0100000US,,United States,1600000US0660102,0660102,United States - California - Redwood City city,Redwood City city,67829,10020
0100000US,,United States,1600000US0660466,0660466,United States - California - Rialto city,Rialto city,50446,5411
0100000US,,United States,1600000US0660620,0660620,United States - California - Richmond city,Richmond city,52794,5232
0100000US,,United States,1600000US0662000,0662000,United States - California - Riverside city,Riverside city,50416,2601
0100000US,,United States,1600000US0662938,0662938,United States - California - Roseville city,Roseville city,62291,7233
0100000US,,United States,1600000US0664000,0664000,United States - California - Sacramento city,Sacramento city,44867,2077
0100000US,,United States,1600000US0664224,0664224,United States - California - Salinas city,Salinas city,50165,4825
0100000US,,United States,1600000US0665000,0665000,United States - California - San Bernardino city,San Bernardino city,33915,2818
0100000US,,United States,1600000US0665042,0665042,United States - California - San Buenaventura (Ventura) city,San Buenaventura (Ventura) city,57574,5234
0100000US,,United States,1600000US0666000,0666000,United States - California - San Diego city,San Diego city,55637,1487
0100000US,,United States,1600000US0667000,0667000,United States - California - San Francisco city,San Francisco city,57496,1917
0100000US,,United States,1600000US0668000,0668000,United States - California - San Jose city,San Jose city,70921,1617
0100000US,,United States,1600000US0668084,0668084,United States - California - San Leandro city,San Leandro city,55235,5170
0100000US,,United States,1600000US0668196,0668196,United States - California - San Marcos city,San Marcos city,67313,5082
0100000US,,United States,1600000US0668252,0668252,United States - California - San Mateo city,San Mateo city,76704,5552
0100000US,,United States,1600000US0669000,0669000,United States - California - Santa Ana city,Santa Ana city,47438,3497
0100000US,,United States,1600000US0669070,0669070,United States - California - Santa Barbara city,Santa Barbara city,61182,7335
0100000US,,United States,1600000US0669084,0669084,United States - California - Santa Clara city,Santa Clara city,71284,4129
0100000US,,United States,1600000US0669088,0669088,United States - California - Santa Clarita city,Santa Clarita city,74759,5019
0100000US,,United States,1600000US0669196,0669196,United States - California - Santa Maria city,Santa Maria city,45200,5443
0100000US,,United States,1600000US0670000,0670000,United States - California - Santa Monica city,Santa Monica city,55274,6494
0100000US,,United States,1600000US0670098,0670098,United States - California - Santa Rosa city,Santa Rosa city,51454,2314
0100000US,,United States,1600000US0672016,0672016,United States - California - Simi Valley city,Simi Valley city,78692,5444
0100000US,,United States,1600000US0673080,0673080,United States - California - South Gate city,South Gate city,40653,4151
0100000US,,United States,1600000US0675000,0675000,United States - California - Stockton city,Stockton city,41118,3117
0100000US,,United States,1600000US0677000,0677000,United States - California - Sunnyvale city,Sunnyvale city,74449,4460
0100000US,,United States,1600000US0678120,0678120,United States - California - Temecula city,Temecula city,67903,5905
0100000US,,United States,1600000US0678582,0678582,United States - California - Thousand Oaks city,Thousand Oaks city,90503,6241
0100000US,,United States,1600000US0680000,0680000,United States - California - Torrance city,Torrance city,66999,3629
0100000US,,United States,1600000US0680238,0680238,United States - California - Tracy city,Tracy city,70643,10333
0100000US,,United States,1600000US0680812,0680812,United States - California - Turlock city,Turlock city,48468,5463
0100000US,,United States,1600000US0680854,0680854,United States - California - Tustin city,Tustin city,56631,6542
0100000US,,United States,1600000US0681204,0681204,United States - California - Union City city,Union City city,77542,8573
0100000US,,United States,1600000US0681344,0681344,United States - California - Upland city,Upland city,57194,13535
0100000US,,United States,1600000US0681554,0681554,United States - California - Vacaville city,Vacaville city,66747,6227
0100000US,,United States,1600000US0681666,0681666,United States - California - Vallejo city,Vallejo city,54706,6810
0100000US,,United States,1600000US0682590,0682590,United States - California - Victorville city,Victorville city,42374,5304
0100000US,,United States,1600000US0682954,0682954,United States - California - Visalia city,Visalia city,45023,4965
0100000US,,United States,1600000US0682996,0682996,United States - California - Vista city,Vista city,49294,4309
0100000US,,United States,1600000US0684200,0684200,United States - California - West Covina city,West Covina city,52603,4915
0100000US,,United States,1600000US0684550,0684550,United States - California - Westminster city,Westminster city,58938,6741
0100000US,,United States,1600000US0685292,0685292,United States - California - Whittier city,Whittier city,54555,7735
0100000US,,United States,0400000US08,08,United States - Colorado,Colorado,50652,553
0100000US,,United States,1600000US0803455,0803455,United States - Colorado - Arvada city,Arvada city,61353,3000
0100000US,,United States,1600000US0804000,0804000,United States - Colorado - Aurora city,Aurora city,48309,2401
0100000US,,United States,1600000US0807850,0807850,United States - Colorado - Boulder city,Boulder city,46002,7118
0100000US,,United States,1600000US0812815,0812815,United States - Colorado - Centennial city,Centennial city,75313,5923
0100000US,,United States,1600000US0816000,0816000,United States - Colorado - Colorado Springs city,Colorado Springs city,47854,2347
0100000US,,United States,1600000US0820000,0820000,United States - Colorado - Denver city,Denver city,42370,1514
0100000US,,United States,1600000US0827425,0827425,United States - Colorado - Fort Collins city,Fort Collins city,44261,2748
0100000US,,United States,1600000US0832155,0832155,United States - Colorado - Greeley city,Greeley city,38846,4049
0100000US,,United States,1600000US0836410,0836410,United States - Colorado - Highlands Ranch CDP,Highlands Ranch CDP,93677,6699
0100000US,,United States,1600000US0843000,0843000,United States - Colorado - Lakewood city,Lakewood city,50234,4408
0100000US,,United States,1600000US0845970,0845970,United States - Colorado - Longmont city,Longmont city,51420,4002
0100000US,,United States,1600000US0862000,0862000,United States - Colorado - Pueblo city,Pueblo city,31261,2272
0100000US,,United States,1600000US0877290,0877290,United States - Colorado - Thornton city,Thornton city,63636,5838
0100000US,,United States,1600000US0883835,0883835,United States - Colorado - Westminster city,Westminster city,60265,3125
0100000US,,United States,0400000US09,09,United States - Connecticut,Connecticut,60941,812
0100000US,,United States,1600000US0908000,0908000,United States - Connecticut - Bridgeport city,Bridgeport city,36976,4828
0100000US,,United States,1600000US0918430,0918430,United States - Connecticut - Danbury city,Danbury city,55881,4831
0100000US,,United States,1600000US0937000,0937000,United States - Connecticut - Hartford city,Hartford city,26032,4119
0100000US,,United States,1600000US0950370,0950370,United States - Connecticut - New Britain city,New Britain city,39303,4608
0100000US,,United States,1600000US0952000,0952000,United States - Connecticut - New Haven city,New Haven city,30603,2152
0100000US,,United States,1600000US0955990,0955990,United States - Connecticut - Norwalk city,Norwalk city,65741,5341
0100000US,,United States,1600000US0973000,0973000,United States - Connecticut - Stamford city,Stamford city,66638,4545
0100000US,,United States,1600000US0980000,0980000,United States - Connecticut - Waterbury city,Waterbury city,36120,3409
0100000US,,United States,0400000US10,10,United States - Delaware,Delaware,52499,1416
0100000US,,United States,1600000US1077580,1077580,United States - Delaware - Wilmington city,Wilmington city,33240,6274
0100000US,,United States,0400000US11,11,United States - District of Columbia,District of Columbia,47221,1934
0100000US,,United States,1600000US1150000,1150000,United States - District of Columbia - Washington city,Washington city,47221,1934
0100000US,,United States,0400000US12,12,United States - Florida,Florida,42433,272
0100000US,,United States,1600000US1207300,1207300,United States - Florida - Boca Raton city,Boca Raton city,55733,9077
0100000US,,United States,1600000US1207875,1207875,United States - Florida - Boynton Beach city,Boynton Beach city,39216,5829
0100000US,,United States,1600000US1208150,1208150,United States - Florida - Brandon CDP,Brandon CDP,51356,2446
0100000US,,United States,1600000US1210275,1210275,United States - Florida - Cape Coral city,Cape Coral city,46933,4287
0100000US,,United States,1600000US1212875,1212875,United States - Florida - Clearwater city,Clearwater city,40250,3483
0100000US,,United States,1600000US1214400,1214400,United States - Florida - Coral Springs city,Coral Springs city,63197,5295
0100000US,,United States,1600000US1216475,1216475,United States - Florida - Davie town,Davie town,55125,3833
0100000US,,United States,1600000US1216725,1216725,United States - Florida - Deerfield Beach city,Deerfield Beach city,35968,3084
0100000US,,United States,1600000US1217200,1217200,United States - Florida - Deltona city,Deltona city,42440,4496
0100000US,,United States,1600000US1224000,1224000,United States - Florida - Fort Lauderdale city,Fort Lauderdale city,44169,3070
0100000US,,United States,1600000US1225175,1225175,United States - Florida - Gainesville city,Gainesville city,26954,2478
0100000US,,United States,1600000US1230000,1230000,United States - Florida - Hialeah city,Hialeah city,30271,2054
0100000US,,United States,1600000US1232000,1232000,United States - Florida - Hollywood city,Hollywood city,41602,1642
0100000US,,United States,1600000US1235000,1235000,United States - Florida - Jacksonville city,Jacksonville city,44173,1241
0100000US,,United States,1600000US1236100,1236100,United States - Florida - Kendall CDP,Kendall CDP,51095,5692
0100000US,,United States,1600000US1238250,1238250,United States - Florida - Lakeland city,Lakeland city,35574,2829
0100000US,,United States,1600000US1239425,1239425,United States - Florida - Largo city,Largo city,36613,2297
0100000US,,United States,1600000US1243975,1243975,United States - Florida - Melbourne city,Melbourne city,40471,4638
0100000US,,United States,1600000US1245000,1245000,United States - Florida - Miami city,Miami city,25211,2109
0100000US,,United States,1600000US1245025,1245025,United States - Florida - Miami Beach city,Miami Beach city,33763,2793
0100000US,,United States,1600000US1245060,1245060,United States - Florida - Miami Gardens city,Miami Gardens city,32893,3271
0100000US,,United States,1600000US1245975,1245975,United States - Florida - Miramar city,Miramar city,57941,3671
0100000US,,United States,1600000US1253000,1253000,United States - Florida - Orlando city,Orlando city,36699,1791
0100000US,,United States,1600000US1254000,1254000,United States - Florida - Palm Bay city,Palm Bay city,40748,3516
0100000US,,United States,1600000US1255775,1255775,United States - Florida - Pembroke Pines city,Pembroke Pines city,55847,5092
0100000US,,United States,1600000US1257425,1257425,United States - Florida - Plantation city,Plantation city,60256,6606
0100000US,,United States,1600000US1258050,1258050,United States - Florida - Pompano Beach city,Pompano Beach city,40390,4591
0100000US,,United States,1600000US1258715,1258715,United States - Florida - Port St. Lucie city,Port St. Lucie city,49296,4007
0100000US,,United States,1600000US1263000,1263000,United States - Florida - St. Petersburg city,St. Petersburg city,37947,1852
0100000US,,United States,1600000US1268350,1268350,United States - Florida - Spring Hill CDP,Spring Hill CDP,41735,2260
0100000US,,United States,1600000US1269700,1269700,United States - Florida - Sunrise city,Sunrise city,44409,3579
0100000US,,United States,1600000US1270600,1270600,United States - Florida - Tallahassee city,Tallahassee city,35765,1858
0100000US,,United States,1600000US1271000,1271000,United States - Florida - Tampa city,Tampa city,38568,3285
0100000US,,United States,1600000US1272145,1272145,United States - Florida - Town 'n' Country CDP,Town 'n' Country CDP,41998,2808
0100000US,,United States,1600000US1276582,1276582,United States - Florida - Weston city,Weston city,83313,10088
0100000US,,United States,1600000US1276600,1276600,United States - Florida - West Palm Beach city,West Palm Beach city,40047,3534
0100000US,,United States,0400000US13,13,United States - Georgia,Georgia,45604,438
0100000US,,United States,1600000US1301052,1301052,United States - Georgia - Albany city,Albany city,36532,3403
0100000US,,United States,1600000US1303440,1303440,United States - Georgia - Athens-Clarke County (balance),Athens-Clarke County (balance),29820,2865
0100000US,,United States,1600000US1304000,1304000,United States - Georgia - Atlanta city,Atlanta city,39752,3034
0100000US,,United States,1600000US1304204,1304204,United States - Georgia - Augusta-Richmond County (balance),Augusta-Richmond County (balance),37231,3127
0100000US,,United States,1600000US1319000,1319000,United States - Georgia - Columbus city,Columbus city,34040,2325
0100000US,,United States,1600000US1349000,1349000,United States - Georgia - Macon city,Macon city,23956,2735
0100000US,,United States,1600000US1367284,1367284,United States - Georgia - Roswell city,Roswell city,68430,4535
0100000US,,United States,1600000US1368516,1368516,United States - Georgia - Sandy Springs CDP,Sandy Springs CDP,67120,6432
0100000US,,United States,1600000US1369000,1369000,United States - Georgia - Savannah city,Savannah city,30887,3265
0100000US,,United States,0400000US15,15,United States - Hawaii,Hawaii,58112,1969
0100000US,,United States,1600000US1517000,1517000,United States - Hawaii - Honolulu CDP,Honolulu CDP,50793,2364
0100000US,,United States,0400000US16,16,United States - Idaho,Idaho,41443,841
0100000US,,United States,1600000US1608830,1608830,United States - Idaho - Boise City city,Boise City city,46342,2967
0100000US,,United States,1600000US1656260,1656260,United States - Idaho - Nampa city,Nampa city,37804,4275
0100000US,,United States,0400000US17,17,United States - Illinois,Illinois,50260,338
0100000US,,United States,1600000US1702154,1702154,United States - Illinois - Arlington Heights village,Arlington Heights village,81739,5859
0100000US,,United States,1600000US1703012,1703012,United States - Illinois - Aurora city,Aurora city,55950,3769
0100000US,,United States,1600000US1706613,1706613,United States - Illinois - Bloomington city,Bloomington city,51273,2544
0100000US,,United States,1600000US1707133,1707133,United States - Illinois - Bolingbrook village,Bolingbrook village,67810,5721
0100000US,,United States,1600000US1712385,1712385,United States - Illinois - Champaign city,Champaign city,30443,3462
0100000US,,United States,1600000US1714000,1714000,United States - Illinois - Chicago city,Chicago city,41015,801
0100000US,,United States,1600000US1714351,1714351,United States - Illinois - Cicero town,Cicero town,40868,5043
0100000US,,United States,1600000US1718823,1718823,United States - Illinois - Decatur city,Decatur city,32233,4123
0100000US,,United States,1600000US1723074,1723074,United States - Illinois - Elgin city,Elgin city,51232,3787
0100000US,,United States,1600000US1724582,1724582,United States - Illinois - Evanston city,Evanston city,58940,4768
0100000US,,United States,1600000US1738570,1738570,United States - Illinois - Joliet city,Joliet city,56175,5789
0100000US,,United States,1600000US1751622,1751622,United States - Illinois - Naperville city,Naperville city,93338,7660
0100000US,,United States,1600000US1757225,1757225,United States - Illinois - Palatine village,Palatine village,64666,3851
0100000US,,United States,1600000US1759000,1759000,United States - Illinois - Peoria city,Peoria city,40276,2823
0100000US,,United States,1600000US1765000,1765000,United States - Illinois - Rockford city,Rockford city,35356,2299
0100000US,,United States,1600000US1768003,1768003,United States - Illinois - Schaumburg village,Schaumburg village,64828,7726
0100000US,,United States,1600000US1772000,1772000,United States - Illinois - Springfield city,Springfield city,43054,3998
0100000US,,United States,1600000US1779293,1779293,United States - Illinois - Waukegan city,Waukegan city,42249,6375
0100000US,,United States,0400000US18,18,United States - Indiana,Indiana,43993,503
0100000US,,United States,1600000US1805860,1805860,United States - Indiana - Bloomington city,Bloomington city,22589,5619
